scale_id,emp_pmt_str_id,emp_pmt_tmp_amt
101-01,1,31250
101-02,1,34375
101-03,1,37813
101-04,1,41594
101-05,1,45753
101-06,1,50329
101-07,1,55362
101-08,1,60898
101-09,1,66987
101-10,1,73686
101-11,1,81055
101-12,1,89160
102-01,1,20000
102-02,1,22000
102-03,1,24200
102-04,1,26620
102-05,1,29282
102-06,1,32210
102-07,1,35431
102-08,1,38975
102-09,1,42872
102-10,1,47159
102-11,1,51875
102-12,1,57063
103-01,1,15000
103-02,1,16500
103-03,1,18150
103-04,1,19965
103-05,1,21962
103-06,1,24158
103-07,1,26574
103-08,1,29231
103-09,1,32154
103-10,1,35369
103-11,1,38906
103-12,1,42797
104-01,1,12500
104-02,1,13750
104-03,1,15125
104-04,1,16638
104-05,1,18302
104-06,1,20132
104-07,1,22145
104-08,1,24359
104-09,1,26795
104-10,1,29475
104-11,1,32422
104-12,1,35664
105-01,1,10000
105-02,1,11000
105-03,1,12100
105-04,1,13310
105-05,1,14641
105-06,1,16105
105-07,1,17716
105-08,1,19487
105-09,1,21436
105-10,1,23580
105-11,1,25938
105-12,1,28531
106-01,1,7500
106-02,1,8250
106-03,1,9075
106-04,1,9983
106-05,1,10981
106-06,1,12079
106-07,1,13287
106-08,1,14616
106-09,1,16077
106-10,1,17685
106-11,1,19453
106-12,1,21399
107-01,1,6000
107-02,1,6600
107-03,1,7260
107-04,1,7986
107-05,1,8785
107-06,1,9663
107-07,1,10630
107-08,1,11693
107-09,1,12862
107-10,1,14148
107-11,1,15563
107-12,1,17119
108-01,1,5000
108-02,1,5500
108-03,1,6050
108-04,1,6655
108-05,1,7321
108-06,1,8053
108-07,1,8858
108-08,1,9744
108-09,1,10718
108-10,1,11790
108-11,1,12969
108-12,1,14266
109-01,1,4000
109-02,1,4400
109-03,1,4840
109-04,1,5324
109-05,1,5857
109-06,1,6442
109-07,1,7086
109-08,1,7795
109-09,1,8575
109-10,1,9432
109-11,1,10375
109-12,1,11413
110-01,1,3750
110-02,1,4125
110-03,1,4538
110-04,1,4991
110-05,1,5490
110-06,1,6039
110-07,1,6643
110-08,1,7308
110-09,1,8038
110-10,1,8842
110-11,1,9727
110-12,1,10699
111-01,1,3500
111-02,1,3850
111-03,1,4235
111-04,1,4659
111-05,1,5124
111-06,1,5637
111-07,1,6200
111-08,1,6821
111-09,1,7503
111-10,1,8253
111-11,1,9078
111-12,1,9986
112-01,1,3250
112-02,1,3575
112-03,1,3933
112-04,1,4326
112-05,1,4758
112-06,1,5234
112-07,1,5758
112-08,1,6333
112-09,1,6967
112-10,1,7663
112-11,1,8430
112-12,1,9273
113-01,1,3000
113-02,1,3300
113-03,1,3630
113-04,1,3993
113-05,1,4392
113-06,1,4832
113-07,1,5315
113-08,1,5846
113-09,1,6431
113-10,1,7074
113-11,1,7781
113-12,1,8559
114-01,1,2750
114-02,1,3025
114-03,1,3328
114-04,1,3660
114-05,1,4026
114-06,1,4429
114-07,1,4872
114-08,1,5359
114-09,1,5895
114-10,1,6484
114-11,1,7133
114-12,1,7846
115-01,1,2500
115-02,1,2750
115-03,1,3025
115-04,1,3328
