scale_id,scale_name,inactive,pay_basis,gl_debit,gl_credit
101-01,GM-01,0,0,5410,1060
101-02,GM-02,0,0,5410,1060
101-03,GM-03,0,0,5410,1060
101-04,GM-04,0,0,5410,1060
101-05,GM-05,0,0,5410,1060
101-06,GM-06,0,0,5410,1060
101-07,GM-07,0,0,5410,1060
101-08,GM-08,0,0,5410,1060
101-09,GM-09,0,0,5410,1060
101-10,GM-10,0,0,5410,1060
101-11,GM-11,0,0,5410,1060
101-12,GM-12,0,0,5410,1060
102-01,DGM-01,0,0,5410,1060
102-02,DGM-02,0,0,5410,1060
102-03,DGM-03,0,0,5410,1060
102-04,DGM-04,0,0,5410,1060
102-05,DGM-05,0,0,5410,1060
102-06,DGM-06,0,0,5410,1060
102-07,DGM-07,0,0,5410,1060
102-08,DGM-08,0,0,5410,1060
102-09,DGM-09,0,0,5410,1060
102-10,DGM-10,0,0,5410,1060
102-11,DGM-11,0,0,5410,1060
102-12,DGM-12,0,0,5410,1060
103-01,Sr. AGM-01,0,0,5410,1060
103-02,Sr. AGM-02,0,0,5410,1060
103-03,Sr. AGM-03,0,0,5410,1060
103-04,Sr. AGM-04,0,0,5410,1060
103-05,Sr. AGM-05,0,0,5410,1060
103-06,Sr. AGM-06,0,0,5410,1060
103-07,Sr. AGM-07,0,0,5410,1060
103-08,Sr. AGM-08,0,0,5410,1060
103-09,Sr. AGM-09,0,0,5410,1060
103-10,Sr. AGM-10,0,0,5410,1060
103-11,Sr. AGM-11,0,0,5410,1060
103-12,Sr. AGM-12,0,0,5410,1060
104-01,AGM-01,0,0,5410,1060
104-02,AGM-02,0,0,5410,1060
104-03,AGM-03,0,0,5410,1060
104-04,AGM-04,0,0,5410,1060
104-05,AGM-05,0,0,5410,1060
104-06,AGM-06,0,0,5410,1060
104-07,AGM-07,0,0,5410,1060
104-08,AGM-08,0,0,5410,1060
104-09,AGM-09,0,0,5410,1060
104-10,AGM-10,0,0,5410,1060
104-11,AGM-11,0,0,5410,1060
104-12,AGM-12,0,0,5410,1060
105-01,Manager-01,0,0,5410,1060
105-02,Manager-02,0,0,5410,1060
105-03,Manager-03,0,0,5410,1060
105-04,Manager-04,0,0,5410,1060
105-05,Manager-05,0,0,5410,1060
105-06,Manager-06,0,0,5410,1060
105-07,Manager-07,0,0,5410,1060
105-08,Manager-08,0,0,5410,1060
105-09,Manager-09,0,0,5410,1060
105-10,Manager-10,0,0,5410,1060
105-11,Manager-11,0,0,5410,1060
105-12,Manager-12,0,0,5410,1060
106-01,Deputy Manager-01,0,0,5410,1060
106-02,Deputy Manager-02,0,0,5410,1060
106-03,Deputy Manager-03,0,0,5410,1060
106-04,Deputy Manager-04,0,0,5410,1060
106-05,Deputy Manager-05,0,0,5410,1060
106-06,Deputy Manager-06,0,0,5410,1060
106-07,Deputy Manager-07,0,0,5410,1060
106-08,Deputy Manager-08,0,0,5410,1060
106-09,Deputy Manager-09,0,0,5410,1060
106-10,Deputy Manager-10,0,0,5410,1060
106-11,Deputy Manager-11,0,0,5410,1060
106-12,Deputy Manager-12,0,0,5410,1060
107-01,Assistant Manager-01,0,0,5410,1060
107-02,Assistant Manager-02,0,0,5410,1060
107-03,Assistant Manager-03,0,0,5410,1060
107-04,Assistant Manager-04,0,0,5410,1060
107-05,Assistant Manager-05,0,0,5410,1060
107-06,Assistant Manager-06,0,0,5410,1060
107-07,Assistant Manager-07,0,0,5410,1060
107-08,Assistant Manager-08,0,0,5410,1060
107-09,Assistant Manager-09,0,0,5410,1060
107-10,Assistant Manager-10,0,0,5410,1060
107-11,Assistant Manager-11,0,0,5410,1060
107-12,Assistant Manager-12,0,0,5410,1060
108-01,Senior Executive-01,0,0,5410,1060
108-02,Senior Executive-02,0,0,5410,1060
108-03,Senior Executive-03,0,0,5410,1060
108-04,Senior Executive-04,0,0,5410,1060
108-05,Senior Executive-05,0,0,5410,1060
108-06,Senior Executive-06,0,0,5410,1060
108-07,Senior Executive-07,0,0,5410,1060
108-08,Senior Executive-08,0,0,5410,1060
108-09,Senior Executive-09,0,0,5410,1060
108-10,Senior Executive-10,0,0,5410,1060
108-11,Senior Executive-11,0,0,5410,1060
108-12,Senior Executive-12,0,0,5410,1060
109-01,Executive-01,0,0,5410,1060
109-02,Executive-02,0,0,5410,1060
109-03,Executive-03,0,0,5410,1060
109-04,Executive-04,0,0,5410,1060
109-05,Executive-05,0,0,5410,1060
109-06,Executive-06,0,0,5410,1060
109-07,Executive-07,0,0,5410,1060
109-08,Executive-08,0,0,5410,1060
109-09,Executive-09,0,0,5410,1060
109-10,Executive-10,0,0,5410,1060
109-11,Executive-11,0,0,5410,1060
109-12,Executive-12,0,0,5410,1060
110-01,Management Trainee-01,0,0,5410,1060
110-02,Management Trainee-02,0,0,5410,1060
110-03,Management Trainee-03,0,0,5410,1060
110-04,Management Trainee-04,0,0,5410,1060
110-05,Management Trainee-05,0,0,5410,1060
110-06,Management Trainee-06,0,0,5410,1060
110-07,Management Trainee-07,0,0,5410,1060
110-08,Management Trainee-08,0,0,5410,1060
110-09,Management Trainee-09,0,0,5410,1060
110-10,Management Trainee-10,0,0,5410,1060
110-11,Management Trainee-11,0,0,5410,1060
110-12,Management Trainee-12,0,0,5410,1060
111-01,Senior Officer-01,0,0,5410,1060
111-02,Senior Officer-02,0,0,5410,1060
111-03,Senior Officer-03,0,0,5410,1060
111-04,Senior Officer-04,0,0,5410,1060
111-05,Senior Officer-05,0,0,5410,1060
111-06,Senior Officer-06,0,0,5410,1060
111-07,Senior Officer-07,0,0,5410,1060
111-08,Senior Officer-08,0,0,5410,1060
111-09,Senior Officer-09,0,0,5410,1060
111-10,Senior Officer-10,0,0,5410,1060
111-11,Senior Officer-11,0,0,5410,1060
111-12,Senior Officer-12,0,0,5410,1060
112-01,Officer-01,0,0,5410,1060
112-02,Officer-02,0,0,5410,1060
112-03,Officer-03,0,0,5410,1060
112-04,Officer-04,0,0,5410,1060
112-05,Officer-05,0,0,5410,1060
112-06,Officer-06,0,0,5410,1060
112-07,Officer-07,0,0,5410,1060
112-08,Officer-08,0,0,5410,1060
112-09,Officer-09,0,0,5410,1060
112-10,Officer-10,0,0,5410,1060
112-11,Officer-11,0,0,5410,1060
112-12,Officer-12,0,0,5410,1060
113-01,Probationary Officer-01,0,0,5410,1060
113-02,Probationary Officer-02,0,0,5410,1060
113-03,Probationary Officer-03,0,0,5410,1060
113-04,Probationary Officer-04,0,0,5410,1060
